,mispelled_words,mispelled_words_frequency
0,{'homebecause'},0.0007209805335255948
1,set(),0.0
2,"{'b', 'c', 'isnt', 'd', 'shouldnt'}",0.003006614552014432
3,"{'doesnt', 'theyre', 'youre'}",0.0007550969041026932
4,"{'homeles', 'kindess', 'thoose', 'trowing', 'greate', 'wount', 'triying'}",0.005279034690799397
5,{'studentname'},0.0005382131324004305
6,{'youre'},0.00043159257660768235
7,"{'conclution', 'carrer', 'diferent', 'biger', 'arctecture', 'diffents', 'helpfull', 'decicion', 'hause', 'ect', 'dificul', 'higt', 'estudnets', 'arquicteture', 'usefull', 'oportunity', 'complite', 'estared', 'thirt', 'potition', 'fisrt', 'cannt', 'respet'}",0.011557788944723618
8,"{'incuage', 'negitive', 'beatifull', 'selfcondidence', 'disagreedlooking', 'selfcondience', 'isyou', 'theyre', 'impotently', 'selfcondicence', 'fild', 'selfcondifence', 'isent'}",0.004193548387096774
9,"{'electionrequires', 'covid19', 'corovirus'}",0.0014299332697807435
10,"{'highschol', 'becuase'}",0.0011068068622025456
11,"{'yourselves', 'shouldnt', 'doesnt'}",0.0012749681257968552
12,"{'grocerys', 'thenthey', 'intead', 'techbology', 'postive', 'thngs', 'aruge', 'belive'}",0.0074418604651162795
13,"{'tv', 'schweitzer'}",0.0005390835579514825
14,"{'kahootquizlet', 'activitys', 'expensives', 'coronavirus'}",0.0011405759908753922
15,"{'preocupation', 'wayfor', 'mistakesnevertheless', 'goodand'}",0.0025673940949935813
16,set(),0.0
17,"{'12pm', '10pm'}",0.0005970149253731343
18,set(),0.0
19,set(),0.0
20,"{'interducaions', 'paragargh3', 'fanfeeling', 'enjoble'}",0.0014545454545454545
21,"{'remebers', 'becasue'}",0.0009132420091324201
22,set(),0.0
23,"{'intead', 'doesnt', 'reaserch', 'assigments', 'chromebooks'}",0.0014228799089356858
24,{'isnt'},0.0003156565656565657
25,"{'bast', 'evry', 'availadle', 'secand', 'deing', 'serios', 'technolgy', 'finsh', 'thrid', 'houes', 'homewark', 'behefit', 'lerning'}",0.013829787234042552
26,"{'callage', 'studnet', 'fourty', 'butfor', 'tradional', 'clases', 'thier', 'bitween', 'inconclusion', 'opinon', 'differnt', 'beacuse', 'prepere', 'laern', 'disavanges', 'differenly', 'secand', 'whow', 'restaurent', 'anothers', 'differentin', 'learnd', 'imagen', 'prechers', 'tham', 'afther', 'responsability', 'suppor', 'sothis', 'yearsmay', 'insted'}",0.01045531197301855
27,"{'decitions', 'theyre', 'leas', 'respectfuly', 'responsability', 'serous', 'possitive', 'modle', 'recures', 'belives', 'belive'}",0.003832752613240418
28,"{'borther', 'genericschool', 'genericname', 'insted'}",0.0024286581663630845
29,"{'exito', 'accion', 'misteke', 'everytime', 'pertmit', 'sothing', 'desions', 'exellent', 'l', 'finaly', 'bult', 'someelse', 'desicions', 'desicion', 'exating', 'becuse'}",0.013333333333333334
30,set(),0.0
31,"{'everythingthey', 'timealso', 'teeneger', 'acceptation', 'resposabilities', 'measureclasses', 'shouldnt'}",0.0018440463645943098
32,set(),0.0
33,"{'didnt', 'upsetmad', 'doesnt', 'youre', 'enthusiasms', 'oprahellen', 'wasnt', 'genericname', 'degeneres'}",0.002912621359223301
34,"{'honestys', 'suprised', 'theyre', 'reteach'}",0.0006668889629876625
35,"{'2pm', '7am', 'musicsciences', 'fourday'}",0.0010534632604687912
36,{'wasnt'},0.0003169572107765452
37,{'focusbe'},0.0004310344827586207
38,"{'locationname', 'differnet', 'opions', 'especiallly', 'foodculture'}",0.0017611835153222965
39,"{'driveng', 'biskel', 'l', 'caer', 'becoes', 'grilfrind', 'gril', 'ther', 'wiht', '3years', 'buskel', 'evry', 'beges', 'moer', 'wihe', 'coold', '2brthers', 'weas', 'relly', 'genericname', 'seccer', 'cloes', 'cantery', 'mauh', 'phet', 'lieg', 'stirt', 'weant', 'besid', 'thengs', 'hert', 'bater', 'baskel', 'haveng', 'finly', 'ariq', 'becase', 'frinds', 'genericschool', 'beang', 'drimm', 'geame', 'sceer', 'favert', 'stiy'}",0.033185840707964605
40,"{'f', 'b', 'doesnt', 'c', 'd', 's', 'shouldnt'}",0.004120070629782225
41,set(),0.0
42,"{'challged', 'challeges', 'drving', 'auther', 'licens', 'chaleges', 'getteing', 'hared', 'masted', 'masterd', 'becuase', 'challeged', 'importent', 'beacuase', 'callege', 'gole', 'fusterated'}",0.008461921353907416
43,"{'importanly', 'youre', 'obsticles', 'dependebles', 'isnt'}",0.0020383204239706482
44,"{'wendys', 'didnt', 'genericname'}",0.0008163265306122449
45,set(),0.0
46,"{'esstem', 'chater', 'selfesstem', 'unquestionly', 'achivement', 'learining'}",0.0036319612590799033
47,"{'sholdnt', 'didnt', 'sucessful', 'costomers'}",0.004333694474539545
48,"{'sciencemath', 'areand', 'dramaor', 'technologycarsand', 'dreamspassion', 'dreamssecond', 'singdancewritereadtechnology', 'musicdance', 'opinionsome', 'historyenglish', 'boringsleeping', 'afters'}",0.0037243947858473
49,"{'schechule', 'decicion', 'becuase', 'classs', 'chnage', 'concecuense', 'ofice', 'genericname', 'didnt', 'decion', 'planed', 'consecuense', 'desion', 'desicion', 'shouldnt', 'anythig', 'perpective', 'lisent', 'opion', 'requiered', 'studesnts'}",0.0040007620499142695
50,"{'hearn', 'conmpany', 'foccused', 'everthing', 'afternoon', 'anothers', 'promisse', 'genericcity', 'empacking', 'genericname'}",0.0016638935108153079
51,"{'feelingthat', 'doesnt'}",0.0018399264029438822
52,"{'didnt', 'sucess', 'alot', 'everytime', 'theyre', 'gades', 'spead', 'improe', 'sucessced', 'isnt', 'handlle'}",0.005248091603053435
53,{'somethingso'},0.0004154549231408392
54,"{'sciencemath', 'heshe', 'impressons', 'hisher', 'sportsarts', 'keypoint', 'familiys', '10th20th'}",0.002876663070837828
55,"{'mcdonalds', 'probaly', 'didnt', 'launguge', 'doand', 'alot', 'genericcity', 'grandmaunclesauntsand', 'rollerskating', 'circuse'}",0.005012531328320802
